0.000000,0.016592,0.025692,0.037162,0.046216,0.057846,0.069879,0.106613,0.106613,0.110453,0.110453,0.111359,0.111359,0.122355,0.122355,0.125620,0.128748,0.128748,0.142877,0.142877,0.142877,0.142877,0.142877,0.142877,0.142877,0.142877,0.142877,0.148588,0.142877,0.142877,0.142877,0.142877,0.142877,0.142877,0.142877,0.142877,0.133990,0.122355,0.122355,0.122355,0.122355,0.122355,0.122355,0.122355,0.125620,0.128748,0.128748,0.134063,0.142877,0.142877,0.154681
0.016592,0.000000,0.009418,0.024056,0.031148,0.044302,0.057463,0.092605,0.092605,0.098764,0.098764,0.098996,0.098996,0.113556,0.113556,0.116962,0.119938,0.119938,0.136803,0.136803,0.136803,0.136803,0.136803,0.136803,0.136803,0.136803,0.136803,0.142760,0.136803,0.136803,0.136803,0.136803,0.136803,0.136803,0.136803,0.136803,0.125040,0.113556,0.113556,0.113556,0.113556,0.113556,0.113556,0.113556,0.116962,0.119938,0.119938,0.126626,0.136803,0.136803,0.150315
0.025692,0.009418,0.000000,0.015762,0.022146,0.035767,0.049018,0.083692,0.083692,0.090324,0.090324,0.090601,0.090601,0.106236,0.106236,0.109968,0.113110,0.113110,0.130777,0.130777,0.130777,0.130777,0.130777,0.130777,0.130777,0.130777,0.130777,0.137075,0.130777,0.130777,0.130777,0.130777,0.130777,0.130777,0.130777,0.130777,0.118031,0.106236,0.106236,0.106236,0.106236,0.106236,0.106236,0.106236,0.109968,0.113110,0.113110,0.120189,0.130777,0.130777,0.145618
0.037162,0.024056,0.015762,0.000000,0.009080,0.022432,0.033544,0.069650,0.069650,0.074846,0.074846,0.077354,0.077354,0.091456,0.091456,0.096308,0.100810,0.100810,0.117463,0.117463,0.117463,0.117463,0.117463,0.117463,0.117463,0.117463,0.117463,0.124791,0.117463,0.117463,0.117463,0.117463,0.117463,0.117463,0.117463,0.117463,0.105110,0.091456,0.091456,0.091456,0.091456,0.091456,0.091456,0.091456,0.096308,0.100810,0.100810,0.107087,0.117463,0.117463,0.135309
0.046216,0.031148,0.022146,0.009080,0.000000,0.015118,0.027140,0.061621,0.061621,0.068385,0.068385,0.069690,0.069690,0.086221,0.086221,0.090984,0.095165,0.095165,0.113512,0.113512,0.113512,0.113512,0.113512,0.113512,0.113512,0.113512,0.113512,0.120831,0.113512,0.113512,0.113512,0.113512,0.113512,0.113512,0.113512,0.113512,0.099366,0.086221,0.086221,0.086221,0.086221,0.086221,0.086221,0.086221,0.090984,0.095165,0.095165,0.102373,0.113512,0.113512,0.132012
0.057846,0.044302,0.035767,0.022432,0.015118,0.000000,0.016461,0.050864,0.050864,0.056348,0.056348,0.055030,0.055030,0.071754,0.071754,0.076144,0.080175,0.080175,0.099101,0.099101,0.099101,0.099101,0.099101,0.099101,0.099101,0.099101,0.099101,0.106444,0.099101,0.099101,0.099101,0.099101,0.099101,0.099101,0.099101,0.099101,0.084326,0.071754,0.071754,0.071754,0.071754,0.071754,0.071754,0.071754,0.076144,0.080175,0.080175,0.087659,0.099101,0.099101,0.118317
0.069879,0.057463,0.049018,0.033544,0.027140,0.016461,0.000000,0.036913,0.036913,0.041345,0.041345,0.046656,0.046656,0.062384,0.062384,0.069647,0.076290,0.076290,0.093568,0.093568,0.093568,0.093568,0.093568,0.093568,0.093568,0.093568,0.093568,0.102827,0.093568,0.093568,0.093568,0.093568,0.093568,0.093568,0.093568,0.093568,0.078964,0.062384,0.062384,0.062384,0.062384,0.062384,0.062384,0.062384,0.069647,0.076290,0.076290,0.082539,0.093568,0.093568,0.118035
0.106613,0.092605,0.083692,0.069650,0.061621,0.050864,0.036913,0.000000,0.000000,0.012779,0.012779,0.031720,0.031720,0.048630,0.048630,0.059060,0.068087,0.068087,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.095973,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.067183,0.048630,0.048630,0.048630,0.048630,0.048630,0.048630,0.048630,0.059060,0.068087,0.068087,0.073826,0.085073,0.085073,0.116260
0.106613,0.092605,0.083692,0.069650,0.061621,0.050864,0.036913,0.000000,0.000000,0.012779,0.012779,0.031720,0.031720,0.048630,0.048630,0.059060,0.068087,0.068087,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.095973,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.085073,0.067183,0.048630,0.048630,0.048630,0.048630,0.048630,0.048630,0.048630,0.059060,0.068087,0.068087,0.073826,0.085073,0.085073,0.116260
0.110453,0.098764,0.090324,0.074846,0.068385,0.056348,0.041345,0.012779,0.012779,0.000000,0.000000,0.023555,0.023555,0.036667,0.036667,0.048454,0.058619,0.058619,0.073333,0.073333,0.073333,0.073333,0.073333,0.073333,0.073333,0.073333,0.073333,0.085075,0.073333,0.073333,0.073333,0.073333,0.073333,0.073333,0.073333,0.073333,0.056986,0.036667,0.036667,0.036667,0.036667,0.036667,0.036667,0.036667,0.048454,0.058619,0.058619,0.063068,0.073333,0.073333,0.106483
